lead_hours,epoch,train_auc,train_loss,val_auc,val_loss
1,1,0.5333,0.4442,0.6594,0.1726
1,2,0.6392,0.4039,0.6751,0.152
1,3,0.6699,0.4021,0.6959,0.1632
1,4,0.697,0.3883,0.7177,0.1498
1,5,0.7124,0.3901,0.7262,0.1302
1,6,0.7218,0.3886,0.7342,0.1953
1,7,0.721,0.3794,0.7428,0.1208
1,8,0.7283,0.3843,0.7346,0.205
2,1,0.5418,0.4402,0.649,0.1893
2,2,0.6218,0.4089,0.6737,0.1855
2,3,0.6544,0.406,0.7035,0.1583
2,4,0.6855,0.3965,0.7189,0.1842
2,5,0.6997,0.3905,0.7472,0.1264
2,6,0.7076,0.3898,0.7451,0.1437
2,7,0.715,0.3899,0.7443,0.151
3,1,0.5338,0.437,0.6164,0.1519
3,2,0.6027,0.4163,0.6208,0.1241
3,3,0.6438,0.4052,0.6382,0.1339
3,4,0.6674,0.4005,0.6788,0.1556
3,5,0.6826,0.397,0.686,0.1848
3,6,0.6891,0.3948,0.6913,0.1222
3,7,0.7,0.39,0.6984,0.1435
3,8,0.713,0.388,0.7096,0.1561
