lead_hours,epoch,train_auc,train_loss,val_auc,val_loss
1,1,0.5769,0.4226,0.6932,0.1598
1,2,0.6622,0.4035,0.6971,0.1491
1,3,0.6784,0.3977,0.7199,0.1658
1,4,0.687,0.3995,0.7213,0.1427
1,5,0.7053,0.3879,0.7185,0.148
1,6,0.7147,0.3927,0.7329,0.1484
1,7,0.7182,0.3847,0.74,0.1386
1,8,0.7219,0.3836,0.7357,0.184
2,1,0.5323,0.4426,0.6318,0.189
2,2,0.5867,0.4192,0.6475,0.1764
2,3,0.6254,0.4138,0.6748,0.1598
2,4,0.6554,0.4036,0.6899,0.1602
2,5,0.6693,0.3947,0.7041,0.1364
2,6,0.6691,0.4091,0.7087,0.1089
2,7,0.6817,0.3998,0.7223,0.1633
2,8,0.6822,0.3951,0.7301,0.1833
3,1,0.5463,0.4314,0.5853,0.1354
3,2,0.6005,0.4171,0.5953,0.142
3,3,0.6046,0.4185,0.6028,0.1247
3,4,0.6296,0.4107,0.6113,0.1391
3,5,0.6296,0.4109,0.6133,0.1323
3,6,0.6415,0.4104,0.6296,0.1141
3,7,0.6461,0.407,0.6359,0.1548
3,8,0.6598,0.4042,0.6503,0.1194
